證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
063142,川湖元富37購01,0,0,0,2.77,0,0
063148,聯鈞元富36購02,0,0,0,3.12,0,0
063153,SGBR2X國票35購03,0,0,0,0.5,0,0
063155,光罩國票35購02,0,0,0,0.57,0,0
06315T,勤誠元大38售02,0,0,0,1.94,0,0
063162,慧洋國票35購02,0,0,0,4.91,0,0
063164,建漢國票35購01,0,0,0,0.07,0,0
06316T,華城群益3A售03,0,0,0,0.34,0,0
063172,聯電國泰36購02,0,0,0,1.1,0,0
063173,聯電國泰36購03,0,0,0,1.13,0,0
063176,台積電富邦38購03,0,0,0,33.4,0,0
063184,科技息群益34購01,0,0,0,4.22,0,0
063186,川湖群益34購01,0,0,0,2.19,0,0
063187,川湖群益3A購01,0,0,0,4.68,0,0
063189,中華群益34購03,0,0,0,0.76,0,0
063190,聯電群益3A購01,0,0,0,0.63,0,0
063195,中工群益36購02,0,0,0,1.53,0,0
063197,富邦金群益34購01,0,0,0,1.45,0,0
063203,聯鈞群益35購01,0,0,0,1.13,0,0
063204,聯鈞群益38購01,0,0,0,2.75,0,0
06320T,SGBR2X凱基39售04,0,0,0,0.48,0,0
063214,矽創群益34購03,0,0,0,0.02,0,0
06321T,美費半凱基39售01,0,0,0,0.39,0,0
063224,臺股指群益36購21,0,0,0,5.8,0,0
063229,SGBR2X統一3A購02,0,0,0,0.41,0,0
063230,美時統一38購02,0,0,0,1.3,0,0
063231,川湖統一3C購04,0,0,0,1,0,0
063232,偉詮電統一3A購04,0,0,0,0.4,0,0
063233,長榮航統一38購02,0,0,0,0.89,0,0
063234,上証2X中信37購01,0,0,0,0.1,0,0
063235,技嘉中信34購02,0,0,0,2.06,0,0
063238,聯詠中信37購01,0,0,0,1.45,0,0
063252,聯電凱基3A購01,0,0,0,1.07,0,0
063253,國巨凱基37購01,0,0,0,1.81,0,0
063255,台積電凱基34購27,0,0,0,24.3,0,0
063265,中工凱基36購01,0,0,0,3.18,0,0
063267,大立光凱基38購01,0,0,0,2.44,0,0
06326T,華城永豐3A售03,0,0,0,0.32,0,0
06327T,奇鋐永豐38售04,0,0,0,0.37,0,0
063283,力智凱基39購01,0,0,0,2.16,0,0
063286,元金2X國票35購02,0,0,0,4,10,0
06328T,華城凱基39售05,0,0,0,0.16,0,0
063294,天鈺國票35購01,0,0,0,0.27,0,0
063296,矽力國票35購02,0,0,0,1.03,0,0
063298,矽創國票36購01,0,0,0,0.46,0,0
063300,世紀鋼國票35購04,0,0,0,0.85,0,0
063301,元石油群益3A購01,0,0,0,0.46,0,0
063311,聯電群益38購01,0,0,0,0.92,0,0
063313,國巨群益36購02,0,0,0,0.42,0,0
063314,台積電群益35購09,0,0,0,33.8,0,0
063320,仲琦群益35購01,0,0,0,0.35,0,0
063323,裕民群益36購01,0,0,0,3.15,0,0
063324,富邦金群益34購02,0,0,0,0.45,0,0
063333,愛普群益36購02,0,0,0,0.64,0,0
063338,東元元大34購03,0,0,0,1.84,0,0
06333T,華城元大38售10,0,0,0,0.21,0,0
063340,聯電元大35購03,0,0,0,0.07,0,0
063341,聯電元大38購01,0,0,0,0.33,0,0
063342,台積電元大34購54,0,0,0,13,0,0
06334T,華城元大38售11,0,0,0,0.27,0,0
063359,聯詠元大34購03,0,0,0,4.2,0,0
06335T,華城元大38售12,0,0,0,0.38,0,0
063374,東哥元大34購04,0,0,0,0.29,0,0
063376,世紀鋼元大35購09,0,0,0,0.74,0,0
063378,光寶科富邦35購02,0,0,0,0.25,0,0
06337T,台積電元大38售10,0,0,0,0.04,0,0
063380,技嘉富邦34購03,0,0,0,1.84,0,0
063381,漢翔富邦34購01,0,0,0,0.47,0,0
06338T,台積電元大38售11,0,0,0,0.5,0,0
063391,訊芯永豐37購01,0,0,0,1.06,0,0
063392,訊芯永豐38購01,0,0,0,1.24,0,0
063396,美時中信37購01,0,0,0,2.5,0,0
063398,中工中信34購01,0,0,0,0.76,0,0
063399,欣興中信36購01,0,0,0,1.21,0,0
063403,世紀鋼中信3A購01,0,0,0,1.1,0,0
063405,台泥統一38購01,0,0,0,0.41,0,0
063406,美時統一3A購01,0,0,0,0.91,0,0
063407,聯電統一3A購02,0,0,0,0.43,0,0
06340T,勤誠元大3B售01,0,0,0,1.48,0,0
063410,訊芯統一38購01,0,0,0,0.58,0,0
063411,訊芯統一38購02,0,0,0,0.82,0,0
063412,訊芯統一3A購01,0,0,0,0.75,0,0
063414,訊芯統一3C購02,0,0,0,0.68,0,0
063415,訊芯統一3C購03,0,0,0,0.96,0,0
063419,群創兆豐38購01,0,0,0,1.4,0,0
06341T,華城國票39售04,0,0,0,0.42,0,0
063421,訊芯兆豐38購02,0,0,0,0.51,0,0
063425,光寶科群益34購07,0,0,0,0.03,0,0
063427,聯電群益38購02,0,0,0,0.51,0,0
06342T,華城國票39售05,0,0,0,0.4,0,0
063431,台積電群益38購03,0,0,0,6.55,0,0
06343T,新日興國票38售02,0,0,0,1.28,0,0
063442,佳必琪群益37購01,0,0,0,7.85,0,0
063446,訊芯群益36購01,0,0,0,0.64,0,0
063453,國企2X元大35購01,0,0,0,0.29,0,0
063454,SGBR2X元大35購03,0,0,0,0.44,0,0
063455,SGBR2X元大35購04,0,0,0,0.6,0,0
063459,川湖元大34購01,0,0,0,4.66,0,0
06345T,華城統一38售01,0,0,0,0.25,0,50
063466,聯電元大34購11,0,0,0,0.33,0,0
06346T,華城統一3C售04,0,0,0,0.58,0,0
063473,聯發科元大34購34,0,0,0,4,0,0
063475,聯發科元大34購36,0,0,0,4.83,0,0
06347T,台積電統一3C售07,0,0,0,0.24,0,0
063481,華晶科元大34購03,0,0,0,0.12,0,0
06348T,新日興統一3C售03,0,0,0,0.88,0,0
06349T,華城群益38售04,0,0,0,0.29,0,0
063508,中石化國票36購01,0,0,0,0.07,0,0
06350T,聯發科群益39售08,0,0,0,0.58,0,0
063510,喬山國票35購02,0,0,0,0.5,0,0
063512,新興國票35購01,0,0,0,0.56,0,0
063513,漢翔國票35購03,0,0,0,0.76,0,0
06351T,奇鋐群益38售06,0,0,0,1.11,0,0
063520,台郡國票35購01,0,0,0,0.17,0,0
063521,訊芯國票35購01,0,0,0,0.48,0,0
063522,晶心科國票37購01,0,0,0,0.61,0,0
063523,昇陽半國票35購01,0,0,0,0.25,0,0
063524,世紀鋼國票36購02,0,0,0,1.4,0,0
063527,元債2X凱基3A購03,0,0,0,1.21,0,0
06352T,文曄群益38售02,0,0,0,4.99,0,0
063535,聯電凱基38購01,0,0,0,0.37,0,0
063549,大立光凱基3A購01,0,0,0,2.38,0,0
06355T,金像電富邦3A售01,0,0,0,0.57,0,0
063562,訊芯凱基38購01,0,0,0,0.87,0,0
063566,矽創凱基35購02,0,0,0,0.58,0,0
06356T,台光電第一38售02,0,0,0,1.18,0,0
063572,臺股指凱基36購33,0,0,0,4.97,0,0
063581,台達電富邦38購01,0,0,0,0.98,0,0
063582,南亞科富邦35購01,0,0,0,0.15,0,0
063583,友達富邦38購01,0,0,0,1.18,0,0
063584,群創富邦38購01,0,0,0,1.6,0,0
063586,同欣電富邦35購01,0,0,0,0.46,0,0
063587,康舒富邦3A購01,0,0,0,0.74,0,0
06358T,台積電凱基43售07,0,0,0,0.91,0,0
063591,聯電第一35購02,0,0,0,0.31,0,0
063592,中石化中信35購01,0,0,0,0.08,0,0
063596,長榮航中信34購01,0,0,0,0.45,0,0
06359T,矽統凱基38售04,0,0,0,0.71,0,0
063602,喬山凱基35購01,0,0,0,0.66,0,0
063605,聯電凱基37購01,0,0,0,1.55,0,0
063608,台積電凱基35購18,0,0,0,13,0,0
06360T,奇鋐凱基38售07,0,0,0,0.54,0,0
063613,漢翔凱基34購05,0,0,0,1.75,0,0
063614,慧洋凱基34購05,0,0,0,4.35,0,0
063617,大立光凱基39購02,0,0,0,1.92,0,0
06361T,矽統元富38售01,0,0,0,0.94,0,0
063621,碩天凱基35購02,0,0,0,0.95,0,0
063634,一詮統一3A購02,0,0,0,1.28,0,0
063639,大成鋼兆豐37購01,0,0,0,0.3,0,0
063641,力積電兆豐38購01,0,0,0,0.12,0,0
063643,A50正2元大36購01,0,0,0,0.65,0,0
063650,台積電元大34購62,0,0,0,6,0,0
063652,聯發科元大34購37,0,0,0,10.1,0,0
06365T,立積國票39售01,0,0,0,1.51,0,0
063661,晟銘電元大34購02,0,0,0,2.66,0,0
063662,晟銘電元大34購03,0,0,0,3.14,0,0
063663,晟銘電元大34購04,0,0,0,1.14,0,0
063664,欣興元大34購03,0,0,0,2.9,0,0
063668,瑞鼎元大34購03,0,0,0,1.19,0,0
06366T,新日興中信38售02,0,0,0,0.77,0,0
063670,拓凱元大34購01,0,0,0,0.73,0,0
06367T,技嘉統一3A售04,0,0,0,0.49,0,0
063681,晟銘電國泰36購01,0,0,0,3.32,0,0
063682,華航富邦36購02,0,0,0,0.59,0,0
063683,漢翔富邦34購02,0,0,0,1.16,0,0
063688,滬深2X元富34購02,0,0,0,0.57,0,0
06368T,技嘉統一42售02,0,0,0,0.81,0,0
06369T,台光電統一3A售01,0,0,0,0.8,0,0
063700,聯發科台新35購01,0,0,0,5.35,0,0
063704,FB越南國票34購02,0,0,0,1.03,0,0
063706,大亞國票35購01,0,0,0,3.1,0,0
063708,中華國票35購01,0,0,0,7.45,0,0
063710,聯電國票35購03,0,0,0,0.38,0,0
063711,聯電國票35購04,0,0,0,0.04,0,0
063713,華碩國票36購01,0,0,0,2.16,0,0
063717,裕民國票35購03,0,0,0,0.61,0,0
063718,中航國票35購02,0,0,0,0.26,0,0
063719,長榮航國票35購03,0,0,0,2.52,0,0
063720,長榮航國票36購02,0,0,0,2.18,0,0
063721,漢翔國票35購04,0,0,0,0.6,0,0
063722,晟銘電國票35購01,0,0,0,5.3,0,0
063723,玉晶光國票35購03,0,0,0,4.33,0,0
063727,日月光國票36購01,0,0,0,1.85,0,0
063728,矽格國票35購02,0,0,0,0.31,0,3
06372T,奇鋐統一3C售05,0,0,0,0.58,0,0
063731,滬深2X永豐36購01,0,0,0,0.65,0,0
063732,聯電永豐35購01,0,0,0,0.38,0,0
063733,香港2X群益36購01,0,0,0,0.22,0,0
06373T,文曄統一3A售06,0,0,0,1.15,0,0
063750,晟銘電群益36購01,0,0,0,2.89,0,0
063755,祥碩群益38購01,0,0,0,6.9,0,0
063760,緯穎群益36購03,0,0,0,2.78,0,0
063769,豐藝永豐36購01,0,0,0,4.75,0,0
06376T,新日興統一3C售05,0,0,0,0.67,0,0
063770,華孚永豐35購02,0,0,0,0.07,0,0
063772,臺股指永豐38購02,0,0,0,4.5,0,0
063774,聯電元富36購01,0,0,0,1.47,0,0
063775,聯電元富36購02,0,0,0,2.18,0,0
063783,台積電統一3A購06,0,0,0,2.41,0,0
063785,欣興統一38購01,0,0,0,1.05,0,0
063786,合勤控統一3A購02,0,0,0,0.41,0,0
063787,華航兆豐3A購01,0,0,0,0.82,0,0
06378T,華通群益42售01,0,0,0,0.39,0,0
063792,聯電凱基36購02,0,0,0,1.99,0,0
063793,聯電凱基38購02,0,0,0,2.76,0,0
063795,台積電凱基34購29,0,0,0,7.5,0,0
063796,台積電凱基36購13,0,0,0,10.5,0,0
063797,技嘉凱基37購04,0,0,0,4.25,0,0
06379T,技嘉群益38售10,0,0,0,2.66,0,0
063803,裕民凱基35購01,0,0,0,1.66,0,0
063805,欣興凱基34購06,0,0,0,0.74,0,0
063806,晶技凱基35購03,0,0,0,1.14,0,0
06380T,技嘉群益38售11,0,0,0,2.3,0,0
063810,敦泰凱基36購01,0,0,0,0.93,0,0
06381T,台光電群益3A售02,0,0,0,2.69,0,0
063826,中工國票35購02,0,0,0,2.5,0,0
063830,瑞儀國票35購01,0,0,0,2.8,0,0
063834,長榮航國泰36購02,0,0,0,2.42,0,0
063836,義隆富邦34購02,0,0,0,1.08,0,0
063838,香港2X元大35購01,0,0,0,0.17,0,0
06383T,健策群益3A售01,0,0,0,2.08,0,0
063843,喬山元大34購02,0,0,0,0.65,0,0
063847,聯電元大35購04,0,0,0,0.45,0,0
063848,華通元大36購02,0,0,0,3.85,0,0
063850,鴻海元大38購03,0,0,0,5.1,0,0
063853,漢唐元大34購03,0,0,0,8.2,0,0
063859,長榮航元大34購10,0,0,0,1.6,0,0
06385T,元金2X元大3B售01,0,0,0,0.21,0,0
06386T,台積電元大38售12,0,0,0,0.4,0,0
063873,矽力元大34購08,0,0,0,1.11,0,0
063875,訊芯元大35購01,0,0,0,0.58,0,0
063876,愛普元大35購05,0,0,0,0.87,0,0
06387T,矽統元大38售05,0,0,0,0.2,0,0
06388T,金像電元大38售11,0,0,0,1.83,0,0
06389T,奇鋐元大38售14,0,0,0,1.07,0,0
063900,新興群益35購01,0,0,0,0.48,0,0
06390T,文曄元大38售08,0,0,0,2.64,0,0
063916,金像電第一36購02,0,0,0,0.74,0,0
063917,技嘉第一34購02,0,0,0,1.85,0,0
06391T,文曄元大38售09,0,0,0,2.56,0,0
063921,矽力中信38購01,0,0,0,1.15,0,0
063923,美時康和35購01,0,0,0,4.11,0,0
063928,漢翔永豐35購02,0,0,0,0.99,0,0
06392T,電子類元大3A售03,0,0,0,0.21,0,0
063934,國泰金元富34購01,0,0,0,3.79,0,0
063938,鴻海統一3A購01,0,0,0,2.42,0,0
063939,友達統一3A購01,0,0,0,1.04,0,0
06393T,台光電中信38售02,0,0,0,1,0,0
063940,創意統一3A購01,0,0,0,0.23,0,0
063941,群創統一3A購01,0,0,0,1.21,0,0
063943,國企2X凱基35購02,0,0,0,0.28,0,0
063947,美時凱基35購03,0,0,0,4.26,0,0
063948,中鋼凱基35購01,0,0,0,0.88,0,0
06394T,矽統永豐38售02,0,0,0,0.29,0,0
063951,聯電凱基35購06,0,0,0,0.12,0,0
063955,金像電凱基3A購01,0,0,0,1.68,0,0
06395T,緯創第一41售01,0,0,0,1.03,0,0
063960,宏達電凱基34購08,0,0,0,0.17,0,0
063962,長榮航凱基36購06,0,0,0,1.38,0,0
063965,雄獅凱基34購01,0,0,0,0.32,0,0
063967,大立光凱基35購07,0,0,0,1.78,0,0
063969,創意凱基34購16,0,0,0,0.09,0,0
06396T,矽統凱基38售06,0,0,0,0.13,0,0
063974,矽力凱基35購01,0,0,0,1.2,0,0
063986,技嘉富邦34購04,0,0,0,2.57,0,0
063987,宏達電富邦38購02,0,0,0,0.9,0,0
063992,三陽兆豐3A購01,0,0,0,1.33,0,0
063994,佳世達兆豐3A購01,0,0,0,0.86,0,0
063997,新唐兆豐3A購01,0,0,0,0.82,0,0
063998,中磊兆豐3A購01,0,0,0,1.68,0,0
06399T,緯創元富38售06,0,0,0,1.07,0,0
064000,南電兆豐3A購01,0,0,0,0.19,0,0
064001,滬深2X元大34購10,0,0,0,0.56,0,0
064002,滬深2X元大36購06,0,0,0,0.87,0,0
064005,川湖元大34購10,0,0,0,4.44,0,0
064008,聯電元大34購13,0,0,0,1.54,0,0
06400T,美債2X國票38售02,0,0,0,1.11,0,0
064015,台積電元大34購65,0,0,0,17.2,0,0
06401T,矽統國票3A售01,0,0,0,0.42,0,0
064022,聯發科元大34購41,0,0,0,3.48,0,0
06402T,新日興國票39售03,0,0,0,1.8,0,0
064032,欣興元大35購12,0,0,0,3.26,0,0
064033,欣興元大38購04,0,0,0,2.78,0,0
064034,欣興元大39購01,0,0,0,2.42,0,0
064047,中興電國票35購01,0,0,0,9.7,0,0
064048,大亞國票35購02,0,0,0,5.4,0,0
064049,光寶科國票35購03,0,0,0,0.04,0,0
064058,技嘉國票34購10,0,0,0,2.61,0,0
06405T,技嘉元大38售24,0,0,0,2.19,0,0
064060,義隆國票35購02,0,0,0,0.76,0,0
064062,中工國票36購01,0,0,0,2.56,0,0
064064,晶技國票35購02,0,0,0,1.91,0,0
064068,天鈺國票36購01,0,0,0,0.53,0,0
06406T,聯發科元大38售19,0,0,0,0.48,0,0
064071,元晶國票35購02,0,0,0,0.15,0,0
064076,台泥群益3A購01,0,0,0,0.42,0,0
06407T,新日興元大38售08,0,0,0,2.1,0,0
064084,佳世達群益36購01,0,0,0,0.44,0,0
064086,技嘉群益34購24,0,0,0,2.21,0,0
06408T,新日興元大38售09,0,0,0,1.77,0,0
064108,穎崴群益36購01,0,0,0,2.14,0,0
064111,緯穎群益37購04,0,0,0,2.41,0,0
064113,緯穎群益3A購01,0,0,0,4.04,0,0
064115,中工中信35購01,0,0,0,0.95,0,0
064116,上品中信34購01,0,0,0,1.75,0,0
064117,祥碩中信34購02,0,0,0,3.66,0,0
064119,緯穎中信38購01,0,0,0,1.9,0,0
064121,緯穎永豐37購04,0,0,0,2.83,0,0
064123,大亞統一3A購01,0,0,0,1.1,0,0
064124,聯電統一38購04,0,0,0,0.53,0,0
064125,技嘉統一3A購01,0,0,0,0.94,0,0
064126,台光電統一35購06,0,0,0,0.38,0,0
064127,義隆統一37購04,0,0,0,0.76,0,0
064128,欣興統一3A購01,0,0,0,0.76,0,0
06412T,宏達電群益38售05,0,0,0,3.45,0,0
064130,致伸統一3A購01,0,0,0,0.91,0,0
064133,元晶統一3A購01,0,0,0,0.49,0,0
064134,穎崴統一3C購01,0,0,0,0.51,0,0
064135,台積電兆豐38購03,0,0,0,4.86,0,0
064137,穎崴兆豐38購01,0,0,0,0.93,0,0
064138,滬深2X凱基37購03,0,0,0,1.05,0,0
064140,中石化凱基37購01,0,0,0,0.11,0,0
064143,美時凱基35購04,0,0,0,2.81,0,0
064145,鴻海凱基39購04,0,0,0,10.2,0,0
064146,台積電凱基34購32,0,0,0,18.8,0,0
06414T,緯創富邦39售02,0,0,0,0.75,0,0
064152,瑞昱凱基35購03,0,0,0,4.25,0,0
064157,裕民凱基35購02,0,0,0,2.34,0,0
06415T,台灣50永豐38售03,0,0,0,0.1,0,0
064160,欣興凱基37購06,0,0,0,1.81,0,0
064163,致伸凱基35購02,0,0,0,2.11,0,0
06416T,台灣50永豐38售04,0,0,0,0.07,0,0
064171,龍德船凱基39購01,0,0,0,3.34,0,0
064173,滬深2X國票35購02,0,0,0,0.45,0,0
064178,台積電國票35購04,0,0,0,21.8,0,0
064180,台積電國票37購02,0,0,0,16.8,0,0
064183,技嘉國票35購05,0,0,0,2.75,0,0
06418T,臺股指永豐38售04,0,0,0,0.22,0,0
064190,臺股指國票37購03,0,0,0,43.2,0,0
064194,義隆國泰37購01,0,0,0,0.87,0,0
064199,中工富邦37購01,0,0,0,1.82,0,0
064201,矽創富邦34購03,0,0,0,0.32,0,0
064202,台泥元大34購05,0,0,0,0.25,0,0
064204,川湖元大34購13,0,0,0,4.78,0,0
064209,聯電元大35購05,0,0,0,0.35,0,0
064210,聯電元大38購02,0,0,0,0.41,0,0
064211,台積電元大34購68,0,0,0,20.9,0,0
064213,台積電元大34購70,0,0,0,6.35,0,0
06421T,創意凱基39售08,0,0,0,1.13,0,0
064222,創意元大34購20,0,0,0,0.09,0,0
064229,虹堡元大34購02,0,0,0,0.2,0,0
06422T,創意凱基3A售06,0,0,0,0.9,0,0
064230,亞翔元大34購13,0,0,0,6.9,0,0
064237,美時群益34購07,0,0,0,1.08,0,0
06423T,晶相光凱基38售03,0,0,0,1.1,0,0
064241,聯電群益37購01,0,0,0,0.66,0,0
064244,台積電群益34購21,0,0,0,12.5,0,0
06424T,台積電統一3C售08,0,0,0,0.25,0,0
064250,義隆群益37購01,0,0,0,0.23,0,0
064251,長榮群益34購06,0,0,0,4.92,0,0
064252,長榮航群益34購05,0,0,0,1.21,0,0
064253,奇鋐群益35購02,0,0,0,4.04,0,0
064258,豐藝群益34購01,0,0,0,6.9,0,0
064259,聯茂群益37購02,0,0,0,1.96,0,0
06425T,金像電統一3A售01,0,0,0,0.73,0,0
064260,穎崴群益37購02,0,0,0,1.18,0,0
064275,A50正2元富34購01,0,0,0,0.54,0,0
06427T,奇鋐統一38售03,0,0,0,0.33,0,0
064296,台達電第一37購01,0,0,0,0.75,0,0
064298,長榮康和35購01,0,0,0,5,0,0
06429T,緯創統一3C售07,0,0,0,0.71,0,0
064302,聯鈞元富37購01,0,0,0,0.53,0,0
064303,聯鈞元富37購02,0,0,0,1.53,0,0
064309,高股息中信34購01,0,0,0,4.82,0,0
064310,T50反1中信3A購02,0,0,0,0.05,0,0
064313,美時中信38購01,0,0,0,0.7,0,0
064316,材料中信3A購01,0,0,0,0.09,0,0
064318,旺宏兆豐3A購02,0,0,0,0.58,0,0
06431T,台積電國票38售09,0,0,0,0.58,0,0
064320,偉詮電兆豐37購01,0,0,0,0.15,0,0
064328,聯發科國泰37購02,0,0,0,5.8,0,0
06432T,台積電國票38售10,0,0,0,0.56,0,0
064330,欣興國泰37購01,0,0,0,3.4,0,0
064334,技嘉統一3A購02,0,0,0,1.53,0,0
064335,技嘉統一3A購03,0,0,0,1.91,0,0
064336,台光電統一37購03,0,0,0,0.66,0,0
064337,漢翔統一3A購01,0,0,0,0.93,0,0
06433T,台積電國票39售04,0,0,0,1.08,0,0
064341,美時群益34購08,0,0,0,7.5,0,0
064356,晶豪科群益37購01,0,0,0,0.73,0,0
06436T,臺股指國票38售14,0,0,0,0.37,0,0
064371,元債2X元大38購03,0,0,0,1.35,0,0
064373,美債2X元大38購01,0,0,0,1.46,0,0
064374,美時元大34購08,0,0,0,3.46,0,0
064376,美時元大35購03,0,0,0,1.89,0,0
064378,聯電元大34購15,0,0,0,0.51,0,0
064379,聯電元大34購16,0,0,0,0.62,0,0
064388,聯發科元大34購45,0,0,0,4.68,0,0
064395,義隆元大37購02,0,0,0,0.58,0,0
064396,可成元大34購05,0,0,0,0.74,0,0
064401,大立光元大38購04,0,0,0,3.23,0,0
064402,大立光元大39購04,0,0,0,2.63,0,0
06440T,台積電中信38售05,0,0,0,0.43,0,0
064419,國巨國票35購01,0,0,0,2.39,0,0
06441T,矽統中信38售02,0,0,0,0.31,0,0
064422,瑞昱國票35購05,0,0,0,7.4,0,0
064426,大立光國票37購01,0,0,0,1.45,0,0
064429,佳必琪國票37購01,0,0,0,7.05,0,0
064433,聯電凱基34購06,0,0,0,1.66,0,0
064434,台積電凱基37購06,0,0,0,15,0,0
064436,台積電凱基43購02,0,0,0,13.1,0,0
064441,友達凱基34購04,0,0,0,1.24,0,0
064446,大立光凱基38購02,0,0,0,3.22,0,0
06444T,創意中信38售04,0,0,0,0.88,0,0
064451,創意凱基37購03,0,0,0,0.53,0,0
064457,愛普凱基35購03,0,0,0,0.47,0,0
064466,友達富邦34購01,0,0,0,1.46,0,0
064469,元晶富邦34購02,0,0,0,0.46,0,0
064474,緯創第一37購01,0,0,0,1.29,0,0
064475,緯創康和35購01,0,0,0,2.19,0,0
064477,緯創兆豐3A購02,0,0,0,1.76,0,0
064478,國巨中信35購01,0,0,0,1.22,0,0
064479,台航中信34購01,0,0,0,0.26,0,0
064480,緯創中信34購01,0,0,0,0.35,0,0
064481,緯創中信35購01,0,0,0,1.12,0,0
064482,緯創中信37購01,0,0,0,1.07,0,0
064483,緯創中信37購02,0,0,0,0.88,0,0
064484,緯創中信37購03,0,0,0,3.94,0,0
064485,緯創中信39購01,0,0,0,2.4,0,0
064486,緯創中信3A購01,0,0,0,0.81,0,0
064487,美時永豐37購03,0,0,0,1.82,0,0
064488,美時永豐3A購01,0,0,0,0.77,0,0
064489,緯創永豐34購01,0,0,0,1.06,0,0
06448T,台積電台新38售02,0,0,0,1.13,0,0
064491,緯創永豐37購01,0,0,0,2.88,0,0
064492,緯創永豐37購02,0,0,0,3.21,0,0
064497,緯創國泰37購02,0,0,0,1.46,0,0
064499,美時統一39購02,0,0,0,0.83,0,0
06449T,台積電國泰3A售05,0,0,0,0.4,0,0
064500,美時統一3A購02,0,0,0,0.88,0,0
064501,聯電統一3A購03,0,0,0,0.89,0,0
064503,台積電統一3C購01,0,0,0,3.22,0,0
064504,毅嘉統一3A購01,0,0,0,0.39,0,0
064505,一詮統一3A購03,0,0,0,1.67,0,0
064506,長榮統一39購04,0,0,0,2.42,0,0
064509,緯創統一37購02,0,0,0,1.11,0,0
064510,緯創統一39購01,0,0,0,1.36,0,0
064512,緯創統一3A購01,0,0,0,2.47,0,0
064513,緯創統一3A購02,0,0,0,0.86,0,0
064515,緯創統一3A購04,0,0,0,0.8,0,0
064516,緯創統一3C購01,0,0,0,0.97,0,0
064517,緯創統一43購01,0,0,0,1.08,0,0
064518,緯創統一44購01,0,0,0,0.9,0,0
064519,緯創統一44購02,0,0,0,0.77,0,0
064524,台積電富邦34購09,0,0,0,6.3,0,0
064525,台光電富邦35購03,0,0,0,1.01,0,0
06452T,台灣50元大38售14,0,0,0,0.11,0,0
064530,材料富邦35購02,0,0,0,0.16,0,0
064533,緯創台新35購01,0,0,0,1.54,0,0
064534,緯創台新37購01,0,0,0,0.98,0,0
064540,美時凱基35購05,0,0,0,1.03,0,0
064544,國巨凱基35購03,0,0,0,0.52,0,0
064549,技嘉凱基35購14,0,0,0,4.87,0,0
06454T,台積電元大38售15,0,0,0,0.96,0,0
064556,晶豪科凱基3A購01,0,0,0,1.09,0,0
064557,大立光凱基34購12,0,0,0,2.15,0,0
06455T,台積電元大38售16,0,0,0,0.74,0,0
064566,緯創凱基37購01,0,0,0,2.21,0,0
064567,緯創凱基37購02,0,0,0,2.4,0,0
064568,緯創凱基39購01,0,0,0,2.39,0,0
064569,緯創凱基3A購04,0,0,0,2.62,0,0
06456T,金像電元大38售12,0,0,0,2.45,0,0
064573,材料凱基35購07,0,0,0,0.37,0,0
064577,中石化國票35購02,0,0,0,0.15,0,0
06457T,創意元大38售10,0,0,0,1.52,0,0
064580,美時國票37購02,0,0,0,2.17,0,0
064581,華通國票35購04,0,0,0,11.9,0,0
064589,晟銘電國票37購01,0,0,0,3.09,0,0
06458T,創意元大38售11,0,0,0,1.77,0,0
064591,緯創國票35購02,0,0,0,3.36,0,0
064592,緯創國票35購03,0,0,0,3.25,0,0
064595,緯穎國票35購04,0,0,0,4.49,0,0
064599,宏泰群益3A購01,0,0,0,1.37,0,0
06459T,台灣50群益38售03,0,0,0,0.17,0,0
064601,美時群益37購01,0,0,0,1.3,0,0
064602,中鋼群益34購01,0,0,0,0.17,0,0
064610,精英群益34購01,0,0,0,0.97,0,0
064612,金像電群益34購11,0,0,0,1.42,0,0
064613,台光電群益37購02,0,0,0,3.33,0,0
06461T,台灣50群益38售05,0,0,0,0.29,0,0
064620,緯創群益34購01,0,0,0,2.95,0,0
064622,緯創群益34購03,0,0,0,0.75,0,0
064623,緯創群益35購01,0,0,0,0.95,0,0
064624,緯創群益37購01,0,0,0,1.85,0,0
064625,緯創群益3C購01,0,0,0,3.22,0,0
064626,玉晶光群益37購02,0,0,0,2.43,0,0
064627,創意群益37購01,0,0,0,1.13,0,0
064629,台耀群益39購01,0,0,0,1.33,0,0
06462T,金像電群益3A售05,0,0,0,2.7,0,0
064636,緯穎群益37購05,0,0,0,3.71,0,0
064639,台積電元富44購02,0,0,0,6.85,0,0
064645,緯創元富44購01,0,0,0,2.04,0,0
064646,緯創元富4A購01,0,0,0,2.4,0,0
06464T,創意群益3A售03,0,0,0,1.42,0,0
064652,力積電元富34購02,0,0,0,0.18,0,0
064659,上証2X元大35購01,0,0,0,0.43,0,0
064660,上証2X元大35購02,0,0,0,0.64,0,0
064661,中502X元大34購03,0,0,0,0.2,0,0
06466T,臺股指群益42售02,0,0,0,0.55,0,0
064680,緯創元大34購09,0,0,0,0.58,0,0
064684,緯創元大34購13,0,0,0,0.38,0,0
064689,創意元大34購24,0,0,0,0.13,0,0
06468T,緯創永豐38售06,0,0,0,0.72,0,0
064694,材料元大34購57,0,0,0,0.04,0,0
06469T,創意永豐38售05,0,0,0,1.62,0,0
064702,緯創中信3A購02,0,0,0,1.12,0,0
064704,儲能永豐37購01,0,0,0,0.58,0,0
