證券代號,證券名稱,成交數量,成交筆數,成交金額,成交價,最後揭示買量,最後揭示賣量
086837,華榮統一43購03,0,0,0,0.88,0,0
086838,華榮統一46購01,0,0,0,0.88,0,0
086844,上銀統一43購01,0,0,0,0.45,0,0
086847,光寶科統一43購06,0,0,0,0.58,0,0
086848,台達電統一43購04,0,0,0,0.63,0,0
086849,台達電統一46購01,0,0,0,0.63,0,0
086850,鴻海統一43購10,0,0,0,0.84,0,0
086851,台積電統一49購05,0,0,0,1.96,0,0
086855,大同統一43購05,0,0,0,0.65,0,0
086856,大同統一43購06,0,0,0,0.62,0,0
086857,大同統一46購01,0,0,0,0.57,0,0
086860,長榮統一43購14,0,0,0,0.6,0,0
086861,長榮統一43購15,0,0,0,0.58,0,0
086863,華晶科統一43購01,0,0,0,0.78,0,0
086866,辛耘統一46購02,0,0,0,0.69,0,0
086868,材料統一42購02,0,0,0,0.83,0,0
086869,全訊統一43購04,0,0,0,0.73,0,0
086870,全訊統一43購05,0,0,0,0.64,0,0
086873,亞翔統一46購01,0,0,0,1.17,15,0
086874,豐藝統一43購03,0,0,0,0.62,0,0
086876,佳必琪統一43購10,0,0,0,1.43,0,0
086877,佳必琪統一43購11,0,0,0,1.52,0,0
086878,元晶統一43購01,0,0,0,0.68,0,0
086879,晶碩統一43購03,0,0,0,0.65,0,0
086881,至上統一43購02,0,0,0,0.92,0,0
086883,群高息國票3C購02,0,0,0,2.1,0,0
086885,東元國票39購01,0,0,0,2.22,0,0
086886,東元國票3A購01,0,0,0,2.33,0,0
086887,華電國票3A購03,0,0,0,2.1,0,0
086888,第一銅國票39購01,0,0,0,6.75,0,0
086889,上銀國票3A購01,0,0,0,1.8,0,0
086890,華通國票3A購01,0,0,0,3.45,0,0
086891,鴻海國票3C購01,0,0,0,2.33,0,0
086892,鴻海國票3C購02,0,0,0,1.74,0,0
086893,聯發科國票39購11,0,0,0,0.87,0,0
086897,碩天國票3A購01,0,0,0,2.8,0,0
086898,全訊國票3C購01,0,0,0,2,0,0
086901,佳必琪國票39購01,0,0,0,4.12,0,0
086902,佳必琪國票3A購01,0,0,0,4.2,0,0
086903,佳必琪國票3C購01,0,0,0,4.6,0,0
086907,臺指反元大43購02,0,0,0,0.33,0,0
086908,元金反元大39購01,0,0,0,0.58,0,0
086910,華榮元大39購06,0,0,0,2.82,0,0
086911,大亞元大39購06,0,0,0,1.25,0,0
086913,光寶科元大39購05,0,0,0,0.51,0,0
086915,台達電元大3A購04,0,0,0,1.66,0,0
086917,台達電元大43購01,0,0,0,1.68,0,0
086918,鴻海元大39購13,0,0,0,1.08,0,0
086919,鴻海元大39購14,0,0,0,0.98,0,0
086920,鴻海元大3A購08,0,0,0,1.19,0,0
086921,國巨元大3A購06,0,0,0,3.35,0,0
086922,台積電元大39購60,0,0,0,1.29,0,0
086923,台積電元大39購61,0,0,0,1.45,0,0
086924,台積電元大39購62,0,0,0,1.47,0,0
086925,金像電元大3A購02,0,0,0,1.48,0,0
086926,大同元大39購03,0,0,0,1.32,0,0
086927,大同元大3A購02,0,0,0,1.46,0,0
086928,大同元大3C購02,0,0,0,1.11,0,0
086930,長榮元大39購18,0,0,0,0.69,0,0
086932,長榮元大39購20,0,0,0,0.79,0,0
086933,新興元大39購01,0,0,0,1.41,0,0
086934,亞航元大39購01,0,0,0,2.12,0,0
086935,開發金元大3C購01,0,0,0,0.59,0,0
086936,奇鋐元大39購22,0,0,0,1.51,0,0
086937,奇鋐元大39購23,0,0,0,1.94,0,0
086938,奇鋐元大39購24,0,0,0,1.5,0,0
086939,欣興元大39購05,0,0,0,1.01,0,0
086940,欣興元大39購06,0,0,0,1,0,0
086941,欣興元大39購07,0,0,0,1.1,0,0
086942,玉晶光元大39購07,0,0,0,0.63,0,0
086944,京鼎元大39購06,0,0,0,0.85,0,0
086948,和碩元大39購09,0,0,0,0.89,0,0
086949,和碩元大39購10,0,0,0,0.85,0,0
086950,和碩元大39購11,0,0,0,0.8,0,0
086952,天鈺元大39購09,0,0,0,0.93,0,0
086953,天鈺元大39購10,0,0,0,0.96,0,0
086954,瑞儀元大39購12,0,0,0,1.14,0,0
086955,樺漢元大39購15,0,0,0,1.76,0,0
086956,樺漢元大39購16,0,0,0,2.07,0,0
086957,臺股指元大3C購06,0,0,0,2.31,0,0
086961,臺股指元大3C購10,0,0,0,2.53,0,0
086962,臺股指元大3C購11,0,0,0,1.78,0,0
086964,東元永豐3C購01,0,0,0,1.1,0,0
086965,三陽永豐3C購01,0,0,0,1.28,0,0
086966,國巨永豐3B購02,0,0,0,1.68,0,0
086967,國巨永豐41購01,0,0,0,1.82,0,0
086969,開發金永豐3A購01,0,0,0,1.13,0,0
086970,晶豪科永豐3A購03,0,0,0,1.05,0,0
086971,奇鋐永豐3A購06,0,0,0,1.73,0,0
086972,奇鋐永豐44購01,0,0,0,0.97,0,0
086973,遠傳永豐41購01,0,0,0,1.13,0,0
086974,佳必琪永豐3B購02,0,0,0,1.83,0,0
086975,力成永豐3C購01,0,0,0,0.75,0,0
086976,台郡永豐3B購01,0,0,0,0.68,0,0
086977,樺漢永豐3B購01,0,0,0,0.96,0,0
086978,帝寶永豐3A購02,0,0,0,0.84,0,0
086979,百和永豐3C購01,0,0,0,1.22,0,0
086980,元債2X富邦42購02,0,0,0,0.69,0,0
086981,華榮富邦42購01,0,0,0,1.2,0,0
086982,鴻海富邦3C購04,0,0,0,0.77,0,0
086983,鴻海富邦42購02,0,0,0,0.74,0,0
086985,亞翔富邦42購02,0,0,0,1.81,4,0
086987,華榮國泰3C購01,0,0,0,2.82,0,0
086988,美時國泰3C購01,0,0,0,1.68,0,0
086989,智邦國泰3C購01,0,0,0,2.38,0,0
086990,聯陽國泰3C購01,0,0,0,0.7,0,0
086991,玉晶光國泰3C購01,0,0,0,0.97,0,0
086992,華擎國泰3C購01,0,0,0,1.8,0,0
086993,碩天國泰3C購01,0,0,0,1.21,0,0
086995,天鈺國泰3C購01,0,0,0,1.14,0,0
086998,東陽中信3A購01,0,0,0,0.62,0,0
086999,東陽中信3B購01,0,0,0,0.58,0,0
087000,華榮中信3A購01,0,0,0,1.5,0,0
087002,長榮太中信3A購01,0,0,0,1.32,0,0
087003,辛耘中信3C購01,0,0,0,1.02,0,0
087005,和碩中信3B購01,0,0,0,1.34,0,0
087006,精成科中信3B購01,0,0,0,0.77,0,0
087007,佳必琪中信3A購01,0,0,0,1.49,0,0
087008,帝寶中信3A購01,0,0,0,0.69,0,0
087009,緯穎中信3B購01,0,0,0,1.51,0,0
087011,聚陽元富3A購01,0,0,0,1.92,0,0
087014,華紙元富41購01,0,0,0,0.91,0,0
087015,華紙元富41購02,0,0,0,1.48,0,0
087016,上銀元富3A購01,0,0,0,1.06,0,0
087019,楠梓電元富41購01,0,0,0,1.48,0,0
087020,楠梓電元富41購02,0,0,0,2.02,0,0
087023,鴻海元富3A購10,0,0,0,3.69,0,0
087024,鴻海元富3A購11,0,0,0,3.94,0,0
087025,鴻海元富41購02,0,0,0,1.8,0,0
087026,台積電元富44購03,0,0,0,1.33,0,0
087027,大同元富3A購02,0,0,0,1.3,0,0
