,位址,橋名
199,嘉義縣阿里鄉楠溪林道0+200K處(玉山登山口附近),楠溪
200,雲林縣北港鎮成功路30號(北辰國小),北港(2)                       
201,嘉義縣阿里山鄉豐山村,豐山                          
202,嘉義縣阿里山鄉來吉村,外來吉                        
203,臺南市南化區大竹坑村林務局43林班,大竹坑                        
204,高雄市旗山區中學路42號(活動中心樓上),旗山(4)                       
205,屏東縣高樹鄉新豐村民安路1-10號,新豐(1)                       
206,屏東縣萬丹鄉新庄村新鐘路410號,新庄國小                      
207,屏東縣崁頂鄉中正路117號(崁頂分駐所),崁頂                          
208,臺東縣鹿野鄉鹿鳴村7號(原水文觀測站),鹿鳴橋                        
209,臺東縣卑南鄉利吉村環山路10鄰12號(利吉國小),利吉國小                      
210,臺東縣金峰鄉賓茂村68號(賓茂國小),賓茂國小                      
211,臺東縣金峰鄉金山段125地號,金針山                        
212,屏東縣霧臺鄉霧臺村神山巷73號,神山                          
213,花蓮縣瑞穗鄉奇美村3鄰47號(奇美國小),奇美國小                      
214,花蓮縣卓溪鄉清水6號,卓清國小                      
215,花蓮縣卓溪鄉太平村1鄰2號,太平國小                      
216,花蓮縣花蓮市仁愛街19號,花蓮                          
217,新北市烏來區福山里(福山植物園內),福山植物園                    
218,高雄市桃源區寶山里寶山巷16號(寶山派出所),寶山                          
219,高雄市那瑪夏區瑪雅里和平巷171號,民權                          
220,高雄市六龜區中正路137-3號,高中(2)                       
221,高雄市茂林區多納巷4號,多納(1)                       
222,高雄市內門區永興里頂庄9號,溝坪                          
223,高雄市旗山區旗甲路2段209號,圓富國中                      
224,台中市和平區東關路一段200之8號,新八仙(2)
225,苗栗縣三義鄉鯉魚潭村三櫃106號,鯉魚潭                        
226,新開村25號,新開                          
227,苗栗縣卓蘭鎮坪林里,坪林國小                      
228,東關路2段白鹿巷,白鹿                          
229,馬鞍電廠上段,馬鞍後池                      
230,臺中市石岡區豐勢路梅子巷,梅子                          
231,豐勢路1238號,石岡壩                        
232,檨子坑路43-7號,湖山水庫                      
233,景安橋旁,景山                          
234,新北市坪林區,金瓜寮溪橋                    
235,台中市和平區東關路一段200之8號,新八仙                        
